month,n,avg_rating,neg_share,reply_rate,median_reply_lag,noisy_flag
2015-01,1,1.0,1.0,0.0,,True
2015-08,1,1.0,1.0,1.0,3.630331145833333,True
2015-11,1,2.0,1.0,0.0,,True
2016-03,1,4.0,0.0,0.0,,True
2016-04,2,1.0,1.0,0.0,,True
2016-06,1,1.0,1.0,0.0,,True
2016-08,1,1.0,1.0,0.0,,True
2016-09,2,1.0,1.0,0.0,,True
2016-10,2,1.0,1.0,0.0,,True
2016-11,2,1.0,1.0,0.0,,True
2016-12,1,1.0,1.0,0.0,,True
2017-01,1,1.0,1.0,0.0,,True
2017-02,1,1.0,1.0,0.0,,True
2017-03,4,1.0,1.0,0.0,,True
2017-04,2,1.0,1.0,0.0,,True
2017-05,4,1.0,1.0,0.0,,True
2017-06,5,1.8,0.8,0.0,,True
2017-07,4,1.0,1.0,0.0,,True
2017-08,3,2.0,0.6666666666666666,0.0,,True
2017-09,3,2.3333333333333335,0.6666666666666666,0.0,,True
2017-10,8,1.0,1.0,0.0,,True
2017-11,3,1.0,1.0,0.0,,True
2017-12,3,2.0,0.6666666666666666,0.0,,True
2018-01,5,1.2,1.0,0.0,,True
2018-02,116,3.8189655172413794,0.25,0.0,,False
2018-03,64,3.75,0.25,0.0,,False
2018-04,72,4.097222222222222,0.19444444444444445,0.013888888888888888,95.43254782407408,False
2018-05,41,4.146341463414634,0.14634146341463414,0.0,,False
2018-06,27,3.814814814814815,0.25925925925925924,0.14814814814814814,69.61890624421295,True
2018-07,28,3.4642857142857144,0.35714285714285715,0.5,10.290666006944445,True
2018-08,29,3.0689655172413794,0.41379310344827586,0.5517241379310345,7.098363784722222,True
2018-09,68,3.7794117647058822,0.20588235294117646,0.3088235294117647,2.3610574305555554,False
2018-10,54,3.7777777777777777,0.2222222222222222,0.5555555555555556,4.023643501157407,False
2018-11,40,4.025,0.2,0.425,3.7235699421296298,False
2018-12,27,4.037037037037037,0.14814814814814814,0.0,,True
2019-01,52,3.7115384615384617,0.2692307692307692,0.0,,False
2019-02,48,3.6458333333333335,0.2916666666666667,0.0,,False
2019-03,61,4.311475409836065,0.11475409836065574,0.0,,False
2019-04,47,4.23404255319149,0.10638297872340426,0.0,,False
