month,n,noisy,provisional,neg_share,severity_rate,reply_lag,reply_coverage,integrity,trust_bleed,z_neg_share,z_severity_rate,z_reply_lag,z_reply_coverage,z_integrity,z_trust_bleed,contrib_neg_share,contrib_severity_rate,contrib_reply_lag,contrib_reply_coverage,contrib_integrity,contrib_trust_bleed,deterioration,RHI,rhi_3mo
2023-01,93,False,False,0.26881720430107525,42.828,4.0305381944444445,0.989247311827957,0.0,0.3877551020408163,1.832439036548362,1.0545039849899116,0.5361173091933333,0.14555877146148635,-0.5345224838248488,1.4088778457940907,5.497317109645086,2.6362599624747793,1.3402932729833332,0.07277938573074318,-0.5345224838248488,0.7044389228970453,0.9716566169906138,90.28343383009386,90.28343383009386
2023-02,64,False,False,0.28125,40.525,2.9408449074074072,0.96875,0.0,0.3877551020408163,2.127419316142022,0.7098602063618621,-0.42214627204959315,0.5569449518082423,-0.5345224838248488,1.4088778457940907,6.382257948426067,1.7746505159046553,-1.0553656801239828,0.27847247590412116,-0.5345224838248488,0.7044389228970453,0.7549931699183057,92.45006830081694,91.36675106545539
2023-03,228,False,False,0.17105263157894737,21.425641025641028,2.0758217592592594,1.0,2.0,0.3877551020408163,-0.48712139815114186,-2.148357442920211,-1.1828375506536621,-0.07025037232697555,2.672612419124244,1.4088778457940907,-1.4613641944534257,-5.370893607300527,-2.957093876634155,-0.035125186163487775,2.6726124191242437,0.7044389228970453,-0.6447425522530308,106.44742552253031,96.39364255114704
2023-04,183,False,False,0.14754098360655737,36.260493827160495,2.7343171296296296,1.0,0.0,0.275,-1.044958320799451,0.07167717492892832,-0.6037643936933488,-0.07025037232697555,-0.5345224838248488,-0.6341199794313999,-3.134874962398353,0.1791929373223208,-1.509410984233372,-0.035125186163487775,-0.5345224838248488,-0.3170599897157,-0.5351800669013441,105.35180066901344,101.41643149745357
2023-05,184,False,False,0.15217391304347827,33.075,5.89625,1.0,0.0,0.275,-0.935037523117654,-0.4050317392651304,2.1768025346847764,-0.07025037232697555,-0.5345224838248488,-0.6341199794313999,-2.8051125693529624,-1.0125793481628262,5.44200633671194,-0.035125186163487775,-0.5345224838248488,-0.3170599897157,0.07376067594921162,99.26239324050789,103.68720647735056
2023-06,143,False,False,0.14685314685314685,34.703968253968256,3.196886574074074,1.0,0.0,0.275,-1.0612779228221385,-0.16125676127435573,-0.1969862133742307,-0.07025037232697555,-0.5345224838248488,-0.6341199794313999,-3.1838337684664157,-0.40314190318588927,-0.4924655334355768,-0.035125186163487775,-0.5345224838248488,-0.3170599897157,-0.4966148864791918,104.96614886479192,103.19344759143775
2023-07,113,False,False,0.1592920353982301,35.31666666666667,4.680532407407408,1.0,0.0,0.3333333333333333,-0.7661530844738044,-0.06956648940644898,1.1077146473715727,-0.07025037232697555,-0.5345224838248488,0.42281554704272234,-2.298459253421413,-0.17391622351612246,2.7692866184289313,-0.035125186163487775,-0.5345224838248488,0.2114077735213612,-0.006132875497557901,100.06132875497558,101.42995695342513
2023-08,100,False,False,0.19,25.123684210526317,2.816574074074074,1.0,0.0,0.3333333333333333,-0.03757648727566055,-1.5949455554827074,-0.5314285950763249,-0.07025037232697555,-0.5345224838248488,0.42281554704272234,-0.11272946182698165,-3.9873638887067684,-1.3285714876908121,-0.035125186163487775,-0.5345224838248488,0.2114077735213612,-0.5786904734691537,105.78690473469153,103.60479411815301
2023-09,152,False,False,0.19736842105263158,43.925,2.0119386574074074,1.0,1.0,0.3333333333333333,0.13724653362036,1.2186699533594156,-1.239015606157625,-0.07025037232697555,1.0690449676496978,0.42281554704272234,0.41173960086107997,3.046674883398539,-3.0975390153940623,-0.035125186163487775,1.069044967649698,0.2114077735213612,0.16062030238731276,98.39379697612688,101.41401015526465
2023-10,248,False,False,0.18548387096774194,33.99021739130435,4.836174768518518,1.0,1.0,0.2439024390243902,-0.14472608072806023,-0.26806952476003476,1.244584726434809,-0.07025037232697555,1.0690449676496978,-1.1975734134054108,-0.43417824218418066,-0.670173811900087,3.111461816087023,-0.035125186163487775,1.069044967649698,-0.5987867067027054,0.24422428367862598,97.55775716321374,100.57948629134405
2023-11,131,False,False,0.19083969465648856,38.99066666666667,2.860474537037037,1.0,0.0,0.2439024390243902,-0.017653907467989477,0.4802473372020842,-0.4928230394052442,-0.07025037232697555,-0.5345224838248488,-1.1975734134054108,-0.05296172240396844,1.2006183430052104,-1.2320575985131106,-0.035125186163487775,-0.5345224838248488,-0.5987867067027054,-0.12528353546029103,101.25283535460291,99.06812983131452
2023-12,120,False,False,0.20833333333333334,43.214,2.970329861111111,1.0,0.0,0.2439024390243902,0.3973998385251526,1.1122688562666923,-0.39621754727446057,-0.07025037232697555,-0.5345224838248488,-1.1975734134054108,1.192199515575458,2.7806721406667303,-0.9905438681861515,-0.035125186163487775,-0.5345224838248488,-0.5987867067027054,0.1813893411364995,98.186106588635,98.99889970215054
2024-01,169,False,False,0.17159763313609466,34.317241379310346,2.043923611111111,1.0,1.0,0.3658536585365853,-0.4741907013393064,-0.21913040928960453,-1.2108884105085262,-0.07025037232697555,1.0690449676496978,1.012047896296588,-1.4225721040179193,-0.5478260232240113,-3.0272210262713157,-0.035125186163487775,1.069044967649698,0.506023948148294,-0.34576754238787427,103.45767542387874,100.9655391223722
