week,total,five,base_mean,base_std,z,poisson_p,fdr_sig
2020-12-28/2021-01-03,32,17,24.0,7.746,-0.9037,0.9437,False
2023-10-30/2023-11-05,35,17,24.1667,19.6923,-0.3639,0.9473,False
2023-12-18/2023-12-24,26,19,26.5833,18.387,-0.4124,0.9479,False
2022-05-16/2022-05-22,29,14,20.5833,4.981,-1.3217,0.9482,False
2021-03-29/2021-04-04,34,19,26.6667,5.2972,-1.4473,0.9495,False
2022-01-10/2022-01-16,21,13,19.5,3.705,-1.7544,0.9512,False
2018-04-16/2018-04-22,7,5,9.25,14.5797,-0.2915,0.9529,False
2024-02-12/2024-02-18,21,13,19.5833,7.2043,-0.9138,0.953,False
2024-07-01/2024-07-07,17,9,14.5833,3.5537,-1.5711,0.9536,False
2018-08-27/2018-09-02,5,1,3.0833,2.3143,-0.9002,0.9542,False
2020-08-10/2020-08-16,33,16,23.3333,5.7102,-1.2843,0.9546,False
2022-02-21/2022-02-27,25,14,20.9167,7.5734,-0.9133,0.955,False
2023-09-04/2023-09-10,17,10,16.0,5.1168,-1.1726,0.9567,False
2019-09-23/2019-09-29,5,3,6.5,7.0646,-0.4954,0.957,False
2018-09-03/2018-09-09,2,1,3.1667,2.2088,-0.9809,0.9579,False
2022-11-21/2022-11-27,15,8,13.5,4.9452,-1.1122,0.9585,False
2023-07-24/2023-07-30,22,15,22.3333,5.565,-1.3177,0.9586,False
2024-12-23/2024-12-29,16,3,6.5833,3.1176,-1.1494,0.9595,False
2019-01-28/2019-02-03,11,2,5.0,1.954,-1.5353,0.9596,False
2024-10-21/2024-10-27,12,5,9.5,4.6417,-0.9695,0.9597,False
2024-11-11/2024-11-17,12,5,9.6667,4.7737,-0.9776,0.9638,False
2025-01-06/2025-01-12,15,2,5.25,3.0785,-1.0557,0.9672,False
2026-04-27/2026-05-03,11,5,9.8333,2.7247,-1.7739,0.9674,False
2023-11-06/2023-11-12,30,16,24.1667,19.6923,-0.4147,0.968,False
2024-03-04/2024-03-10,21,12,19.1667,6.6172,-1.083,0.968,False
2022-11-14/2022-11-20,13,8,14.0833,4.6409,-1.3108,0.9698,False
2018-06-25/2018-07-01,5,3,7.0,7.1985,-0.5557,0.9704,False
2023-11-13/2023-11-19,31,16,24.5833,19.4397,-0.4415,0.9732,False
2020-11-23/2020-11-29,31,17,25.9167,5.0355,-1.7708,0.9743,False
2022-10-24/2022-10-30,16,9,15.75,4.9383,-1.3669,0.9748,False
2018-12-17/2018-12-23,5,3,7.25,6.7572,-0.629,0.9755,False
2018-05-14/2018-05-20,7,4,8.8333,6.4362,-0.751,0.9761,False
2018-10-22/2018-10-28,5,2,5.6667,7.463,-0.4913,0.9769,False
2023-08-21/2023-08-27,17,11,18.5833,4.7378,-1.6006,0.9773,False
2025-06-09/2025-06-15,17,4,8.9167,3.3155,-1.4829,0.9775,False
2024-07-15/2024-07-21,22,7,13.25,3.7203,-1.68,0.9777,False
2024-11-25/2024-12-01,7,4,9.0,4.4107,-1.1336,0.9788,False
2021-06-21/2021-06-27,32,16,25.1667,5.6219,-1.6305,0.9793,False
2025-04-28/2025-05-04,18,4,9.0833,3.4499,-1.4735,0.98,False
2021-11-29/2021-12-05,18,13,21.6667,4.4789,-1.935,0.9822,False
2024-06-17/2024-06-23,16,8,15.1667,2.8868,-2.4826,0.9837,False
2021-06-14/2021-06-20,27,16,25.8333,4.8586,-2.0239,0.9847,False
2020-04-06/2020-04-12,9,6,12.5,3.8494,-1.6886,0.9852,False
2024-12-16/2024-12-22,14,3,7.9167,4.5419,-1.0825,0.9853,False
2023-08-14/2023-08-20,21,11,19.6667,4.3135,-2.0092,0.9871,False
2018-07-09/2018-07-15,3,2,6.6667,7.2655,-0.6423,0.9902,False
2018-07-23/2018-07-29,4,1,4.6667,4.4992,-0.815,0.9906,False
2022-02-14/2022-02-20,27,12,21.75,7.034,-1.3861,0.9913,False
2024-03-25/2024-03-31,24,10,19.1667,6.8069,-1.3467,0.9919,False
2024-07-29/2024-08-04,12,5,11.9167,3.4499,-2.0049,0.9919,False
2020-09-14/2020-09-20,30,14,25.0,4.899,-2.2454,0.9935,False
2021-10-18/2021-10-24,22,14,25.1667,5.3908,-2.0714,0.9941,False
2018-12-24/2018-12-30,3,1,5.25,2.7345,-1.5542,0.9948,False
2022-11-07/2022-11-13,16,7,15.6667,5.2107,-1.6632,0.995,False
2022-06-13/2022-06-19,17,9,18.6667,4.8866,-1.9782,0.9953,False
2019-05-13/2019-05-19,4,2,7.5833,2.9064,-1.9211,0.9956,False
2024-03-18/2024-03-24,20,9,19.1667,6.8069,-1.4936,0.9965,False
2018-06-11/2018-06-17,3,2,7.9167,7.1409,-0.8286,0.9967,False
2023-12-11/2023-12-17,22,14,26.75,18.2713,-0.6978,0.9974,False
2022-10-03/2022-10-09,22,7,16.75,3.9341,-2.4783,0.9976,False
2023-06-12/2023-06-18,27,16,29.5833,7.317,-1.8564,0.9976,False
2024-12-30/2025-01-05,13,1,6.0833,3.1754,-1.6008,0.9977,False
2022-05-30/2022-06-05,14,9,20.3333,5.1405,-2.2047,0.9983,False
2018-05-21/2018-05-27,3,2,8.6667,6.5412,-1.0192,0.9983,False
2023-01-02/2023-01-08,9,3,10.6667,3.8925,-1.9696,0.9984,False
2023-08-28/2023-09-03,18,7,17.4167,4.7378,-2.1986,0.9984,False
2019-05-20/2019-05-26,2,1,7.3333,3.2567,-1.9447,0.9993,False
2023-07-10/2023-07-16,25,11,25.0833,4.8703,-2.8917,0.9994,False
2024-10-14/2024-10-20,9,2,10.3333,4.0302,-2.0677,0.9996,False
2023-12-25/2023-12-31,26,9,23.5,15.9459,-0.9093,0.9998,False
2019-12-09/2019-12-15,4,1,9.3333,3.8691,-2.1538,0.9999,False
2018-05-07/2018-05-13,4,2,13.1667,14.218,-0.7854,1.0,False
2023-11-20/2023-11-26,16,8,25.0,19.1738,-0.8866,1.0,False
2020-12-21/2020-12-27,10,4,25.8333,4.5092,-4.8419,1.0,False
2017-08-14/2017-08-20,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-11-13/2017-11-19,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-07-24/2017-07-30,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-07-17/2017-07-23,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-08-28/2017-09-03,1,0,0.0833,0.2887,-0.2887,1.0,False
2023-02-20/2023-02-26,2,0,10.0833,4.033,-2.5002,1.0,False
2017-10-02/2017-10-08,2,0,0.1667,0.3892,-0.4282,1.0,False
2017-10-09/2017-10-15,5,0,0.1667,0.3892,-0.4282,1.0,False
2017-10-16/2017-10-22,1,0,0.1667,0.3892,-0.4282,1.0,False
2017-07-03/2017-07-09,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-06-26/2017-07-02,2,0,0.0833,0.2887,-0.2887,1.0,False
2017-08-21/2017-08-27,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-11-20/2017-11-26,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-12-11/2017-12-17,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-12-04/2017-12-10,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-12-25/2017-12-31,1,0,0.0833,0.2887,-0.2887,1.0,False
2018-01-15/2018-01-21,2,0,0.0833,0.2887,-0.2887,1.0,False
2018-01-22/2018-01-28,2,0,0.0833,0.2887,-0.2887,1.0,False
2018-01-29/2018-02-04,1,0,0.0833,0.2887,-0.2887,1.0,False
2019-07-22/2019-07-28,2,0,2.1667,2.8231,-0.7675,1.0,False
2019-07-15/2019-07-21,3,0,2.5833,2.8431,-0.9086,1.0,False
2018-06-04/2018-06-10,3,0,8.25,6.8241,-1.209,1.0,False
2019-07-08/2019-07-14,2,0,3.3333,3.2567,-1.0235,1.0,False
2019-06-24/2019-06-30,3,0,4.1667,3.5887,-1.1611,1.0,False
2019-06-17/2019-06-23,1,0,5.0,3.6927,-1.354,1.0,False
2019-06-10/2019-06-16,1,0,6.1667,4.1524,-1.4851,1.0,False
2019-05-27/2019-06-02,1,0,6.9167,3.7285,-1.8551,1.0,False
2017-11-27/2017-12-03,1,0,0.0833,0.2887,-0.2887,1.0,False
2017-06-19/2017-06-25,2,0,0.0833,0.2887,-0.2887,1.0,False
