week,total,five,base_mean,base_std,z,poisson_p,fdr_sig
2025-03-17/2025-03-23,15,10,7.1667,3.9734,0.7131,0.1868,False
2019-02-11/2019-02-17,12,7,4.6667,2.1034,1.1093,0.1909,False
2021-05-24/2021-05-30,46,29,24.25,4.8077,0.988,0.1914,False
2023-01-16/2023-01-22,28,13,9.8333,4.3658,0.7253,0.1929,False
2025-11-03/2025-11-09,22,13,9.9167,2.2344,1.38,0.2006,False
2020-10-12/2020-10-18,44,28,23.5,5.8075,0.7749,0.2013,False
2022-04-18/2022-04-24,44,26,21.6667,7.4874,0.5788,0.2016,False
2026-01-12/2026-01-18,25,12,9.0833,2.1515,1.3557,0.2052,False
2024-09-16/2024-09-22,17,12,9.0833,2.9064,1.0035,0.2052,False
2022-08-29/2022-09-04,38,20,16.25,4.3927,0.8537,0.2056,False
2021-02-15/2021-02-21,52,28,23.5833,8.6703,0.5094,0.2063,False
2021-09-13/2021-09-19,43,28,23.5833,5.9614,0.7409,0.2063,False
2019-01-21/2019-01-27,15,7,4.8333,1.8505,1.1709,0.2139,False
2019-10-07/2019-10-13,16,10,7.4167,6.5291,0.3957,0.2141,False
2024-05-13/2024-05-19,28,19,15.5,3.9428,0.8877,0.2175,False
2026-05-11/2026-05-17,19,12,9.25,2.8002,0.9821,0.2219,False
2019-11-04/2019-11-10,17,10,7.5,3.705,0.6748,0.2236,False
2025-06-16/2025-06-22,21,11,8.4167,3.5792,0.7218,0.2275,False
2025-03-10/2025-03-16,20,9,6.6667,4.0973,0.5695,0.2286,False
2019-12-30/2020-01-05,21,12,9.3333,4.1851,0.6372,0.2305,False
2025-02-17/2025-02-23,21,8,5.8333,3.7376,0.5797,0.2334,False
2020-05-18/2020-05-24,32,19,15.75,8.54,0.3806,0.2372,False
2021-01-18/2021-01-24,54,27,23.25,7.9444,0.472,0.2441,False
2025-02-10/2025-02-16,17,8,5.9167,3.8009,0.5481,0.2446,False
2024-10-28/2024-11-03,19,12,9.5,4.6417,0.5386,0.248,False
2020-11-02/2020-11-08,39,27,23.4167,5.1603,0.6944,0.2553,False
2024-04-22/2024-04-28,29,19,16.0,4.4924,0.6678,0.2577,False
2025-06-30/2025-07-06,14,11,8.75,3.5961,0.6257,0.2648,False
2025-07-21/2025-07-27,19,10,7.9167,2.4293,0.8576,0.2731,False
2024-02-05/2024-02-11,34,22,19.0833,7.2295,0.4034,0.2811,False
2019-04-01/2019-04-07,13,9,7.0833,3.2879,0.5829,0.2818,False
2022-04-04/2022-04-10,40,24,21.0,8.0,0.375,0.284,False
2019-10-21/2019-10-27,19,11,8.9167,5.5507,0.3753,0.2842,False
2021-08-02/2021-08-08,43,27,23.9167,6.112,0.5045,0.2902,False
2019-08-12/2019-08-18,7,5,3.5833,6.8285,0.2075,0.2904,False
2022-12-05/2022-12-11,24,14,11.75,4.4747,0.5028,0.2924,False
2025-09-22/2025-09-28,20,12,9.9167,1.8809,1.1076,0.2938,False
2025-12-01/2025-12-07,16,12,9.9167,2.1515,0.9683,0.2938,False
2025-08-18/2025-08-24,15,11,9.0,2.3741,0.8424,0.294,False
2025-04-21/2025-04-27,15,11,9.0,3.4112,0.5863,0.294,False
2018-02-19/2018-02-25,18,6,4.5,15.5885,0.0962,0.2971,False
2020-09-28/2020-10-04,47,26,23.0833,5.5343,0.527,0.2985,False
2019-12-16/2019-12-22,17,10,8.1667,4.1084,0.4462,0.3043,False
